Indicator Category,Indicator Code,Indicator,Reporting Economy Code,Reporting Economy ISO3A Code,Reporting Economy,Partner Economy Code,Partner Economy ISO3A Code,Partner Economy,Product/Sector Classification Code,Product/Sector Classification,Product/Sector Code,Product/Sector,Period Code,Period,Frequency Code,Frequency,Unit Code,Unit,Year,Value Flag Code,Value Flag,Text Value,Value
Merchandise trade values,ITS_MTV_AM,Merchandise imports by product group ? annual,156,CHN,China,000,,World,SITC3,Merchandise - SITC Revision 3 (aggregates),MACHPH,Pharmaceuticals,A,Annual,A,Annual,USM,Million US dollar,2011,,,,11295.36082
Merchandise trade values,ITS_MTV_AM,Merchandise imports by product group ? annual,156,CHN,China,000,,World,SITC3,Merchandise - SITC Revision 3 (aggregates),MACHPH,Pharmaceuticals,A,Annual,A,Annual,USM,Million US dollar,2016,,,,22051.51389
Merchandise trade values,ITS_MTV_AM,Merchandise imports by product group ? annual,156,CHN,China,000,,World,SITC3,Merchandise - SITC Revision 3 (aggregates),MACHPH,Pharmaceuticals,A,Annual,A,Annual,USM,Million US dollar,2022,,,,40760.71883
Merchandise trade values,ITS_MTV_AM,Merchandise imports by product group ? annual,156,CHN,China,000,,World,SITC3,Merchandise - SITC Revision 3 (aggregates),MACHPH,Pharmaceuticals,A,Annual,A,Annual,USM,Million US dollar,2012,,,,13870.308
Merchandise trade values,ITS_MTV_AM,Merchandise imports by product group ? annual,156,CHN,China,000,,World,SITC3,Merchandise - SITC Revision 3 (aggregates),MACL,Clothing,A,Annual,A,Annual,USM,Million US dollar,2017,,,,7264.069283
Merchandise trade values,ITS_MTV_AM,Merchandise imports by product group ? annual,156,CHN,China,000,,World,SITC3,Merchandise - SITC Revision 3 (aggregates),MACL,Clothing,A,Annual,A,Annual,USM,Million US dollar,2014,,,,6169.199
Merchandise trade values,ITS_MTV_AM,Merchandise imports by product group ? annual,156,CHN,China,000,,World,SITC3,Merchandise - SITC Revision 3 (aggregates),MACL,Clothing,A,Annual,A,Annual,USM,Million US dollar,2018,,,,8266.372447
Merchandise trade values,ITS_MTV_AM,Merchandise imports by product group ? annual,156,CHN,China,000,,World,SITC3,Merchandise - SITC Revision 3 (aggregates),MACL,Clothing,A,Annual,A,Annual,USM,Million US dollar,2021,,,,12307.2643
Merchandise trade values,ITS_MTV_AM,Merchandise imports by product group ? annual,156,CHN,China,000,,World,SITC3,Merchandise - SITC Revision 3 (aggregates),MACL,Clothing,A,Annual,A,Annual,USM,Million US dollar,2011,,,,4012.368811
Merchandise trade values,ITS_MTV_AM,Merchandise imports by product group ? annual,156,CHN,China,000,,World,SITC3,Merchandise - SITC Revision 3 (aggregates),MACL,Clothing,A,Annual,A,Annual,USM,Million US dollar,2012,,,,4525.455
Merchandise trade values,ITS_MTV_AM,Merchandise imports by product group ? annual,156,CHN,China,000,,World,SITC3,Merchandise - SITC Revision 3 (aggregates),MACL,Clothing,A,Annual,A,Annual,USM,Million US dollar,2013,,,,5338.947
Merchandise trade values,ITS_MTV_AM,Merchandise imports by product group ? annual,156,CHN,China,000,,World,SITC3,Merchandise - SITC Revision 3 (aggregates),MACL,Clothing,A,Annual,A,Annual,USM,Million US dollar,2010,,,,2518.363221
Merchandise trade values,ITS_MTV_AM,Merchandise imports by product group ? annual,156,CHN,China,000,,World,SITC3,Merchandise - SITC Revision 3 (aggregates),MACL,Clothing,A,Annual,A,Annual,USM,Million US dollar,2015,,,,6569.359287
Merchandise trade values,ITS_MTV_AM,Merchandise imports by product group ? annual,156,CHN,China,000,,World,SITC3,Merchandise - SITC Revision 3 (aggregates),MACL,Clothing,A,Annual,A,Annual,USM,Million US dollar,2016,,,,6443.870667
Merchandise trade values,ITS_MTV_AM,Merchandise imports by product group ? annual,156,CHN,China,000,,World,SITC3,Merchandise - SITC Revision 3 (aggregates),MACL,Clothing,A,Annual,A,Annual,USM,Million US dollar,2019,,,,8942.19614
Merchandise trade values,ITS_MTV_AM,Merchandise imports by product group ? annual,156,CHN,China,000,,World,SITC3,Merchandise - SITC Revision 3 (aggregates),MACL,Clothing,A,Annual,A,Annual,USM,Million US dollar,2022,,,,10800.16503
Merchandise trade values,ITS_MTV_AM,Merchandise imports by product group ? annual,156,CHN,China,000,,World,SITC3,Merchandise - SITC Revision 3 (aggregates),MACL,Clothing,A,Annual,A,Annual,USM,Million US dollar,2020,,,,9491.114425
Merchandise trade values,ITS_MTV_AM,Merchandise imports by product group ? annual,156,CHN,China,000,,World,SITC3,Merchandise - SITC Revision 3 (aggregates),MAIS,Iron and steel,A,Annual,A,Annual,USM,Million US dollar,2016,,,,18265.29703
Merchandise trade values,ITS_MTV_AM,Merchandise imports by product group ? annual,156,CHN,China,000,,World,SITC3,Merchandise - SITC Revision 3 (aggregates),MAIS,Iron and steel,A,Annual,A,Annual,USM,Million US dollar,2021,,,,45669.10906
Merchandise trade values,ITS_MTV_AM,Merchandise imports by product group ? annual,156,CHN,China,000,,World,SITC3,Merchandise - SITC Revision 3 (aggregates),MAIS,Iron and steel,A,Annual,A,Annual,USM,Million US dollar,2010,,,,25053.98163
Merchandise trade values,ITS_MTV_AM,Merchandise imports by product group ? annual,156,CHN,China,000,,World,SITC3,Merchandise - SITC Revision 3 (aggregates),MAIS,Iron and steel,A,Annual,A,Annual,USM,Million US dollar,2015,,,,19455.0249
Merchandise trade values,ITS_MTV_AM,Merchandise imports by product group ? annual,156,CHN,China,000,,World,SITC3,Merchandise - SITC Revision 3 (aggregates),MAIS,Iron and steel,A,Annual,A,Annual,USM,Million US dollar,2019,,,,25416.51977
Merchandise trade values,ITS_MTV_AM,Merchandise imports by product group ? annual,156,CHN,China,000,,World,SITC3,Merchandise - SITC Revision 3 (aggregates),MAIS,Iron and steel,A,Annual,A,Annual,USM,Million US dollar,2018,,,,24166.32435
Merchandise trade values,ITS_MTV_AM,Merchandise imports by product group ? annual,156,CHN,China,000,,World,SITC3,Merchandise - SITC Revision 3 (aggregates),MAIS,Iron and steel,A,Annual,A,Annual,USM,Million US dollar,2014,,,,22471.007
Merchandise trade values,ITS_MTV_AM,Merchandise imports by product group ? annual,156,CHN,China,000,,World,SITC3,Merchandise - SITC Revision 3 (aggregates),MAIS,Iron and steel,A,Annual,A,Annual,USM,Million US dollar,2011,,,,27164.84172
Merchandise trade values,ITS_MTV_AM,Merchandise imports by product group ? annual,156,CHN,China,000,,World,SITC3,Merchandise - SITC Revision 3 (aggregates),MAIS,Iron and steel,A,Annual,A,Annual,USM,Million US dollar,2022,,,,45467.82212
Merchandise trade values,ITS_MTV_AM,Merchandise imports by product group ? annual,156,CHN,China,000,,World,SITC3,Merchandise - SITC Revision 3 (aggregates),MAIS,Iron and steel,A,Annual,A,Annual,USM,Million US dollar,2013,,,,21442.767
Merchandise trade values,ITS_MTV_AM,Merchandise imports by product group ? annual,156,CHN,China,000,,World,SITC3,Merchandise - SITC Revision 3 (aggregates),MAIS,Iron and steel,A,Annual,A,Annual,USM,Million US dollar,2017,,,,22588.2345
Merchandise trade values,ITS_MTV_AM,Merchandise imports by product group ? annual,156,CHN,China,000,,World,SITC3,Merchandise - SITC Revision 3 (aggregates),MAIS,Iron and steel,A,Annual,A,Annual,USM,Million US dollar,2012,,,,22825.931
Merchandise trade values,ITS_MTV_AM,Merchandise imports by product group ? annual,156,CHN,China,000,,World,SITC3,Merchandise - SITC Revision 3 (aggregates),MAIS,Iron and steel,A,Annual,A,Annual,USM,Million US dollar,2020,,,,39170.55178
Merchandise trade values,ITS_MTV_AM,Merchandise imports by product group ? annual,156,CHN,China,000,,World,SITC3,Merchandise - SITC Revision 3 (aggregates),MAMT,Machinery and transport equipment,A,Annual,A,Annual,USM,Million US dollar,2015,,,,683234.8263
Merchandise trade values,ITS_MTV_AM,Merchandise imports by product group ? annual,156,CHN,China,000,,World,SITC3,Merchandise - SITC Revision 3 (aggregates),MAMT,Machinery and transport equipment,A,Annual,A,Annual,USM,Million US dollar,2016,,,,658488.3264
Merchandise trade values,ITS_MTV_AM,Merchandise imports by product group ? annual,156,CHN,China,000,,World,SITC3,Merchandise - SITC Revision 3 (aggregates),MAMT,Machinery and transport equipment,A,Annual,A,Annual,USM,Million US dollar,2017,,,,736861.1633
Merchandise trade values,ITS_MTV_AM,Merchandise imports by product group ? annual,156,CHN,China,000,,World,SITC3,Merchandise - SITC Revision 3 (aggregates),MAMT,Machinery and transport equipment,A,Annual,A,Annual,USM,Million US dollar,2012,,,,653457.409
Merchandise trade values,ITS_MTV_AM,Merchandise imports by product group ? annual,156,CHN,China,000,,World,SITC3,Merchandise - SITC Revision 3 (aggregates),MAMT,Machinery and transport equipment,A,Annual,A,Annual,USM,Million US dollar,2011,,,,630916.6592
Merchandise trade values,ITS_MTV_AM,Merchandise imports by product group ? annual,156,CHN,China,000,,World,SITC3,Merchandise - SITC Revision 3 (aggregates),MAMT,Machinery and transport equipment,A,Annual,A,Annual,USM,Million US dollar,2010,,,,549686.3836
Merchandise trade values,ITS_MTV_AM,Merchandise imports by product group ? annual,156,CHN,China,000,,World,SITC3,Merchandise - SITC Revision 3 (aggregates),MAMT,Machinery and transport equipment,A,Annual,A,Annual,USM,Million US dollar,2022,,,,904547.5865
Merchandise trade values,ITS_MTV_AM,Merchandise imports by product group ? annual,156,CHN,China,000,,World,SITC3,Merchandise - SITC Revision 3 (aggregates),MAMT,Machinery and transport equipment,A,Annual,A,Annual,USM,Million US dollar,2019,,,,788431.2881
Merchandise trade values,ITS_MTV_AM,Merchandise imports by product group ? annual,156,CHN,China,000,,World,SITC3,Merchandise - SITC Revision 3 (aggregates),MAMT,Machinery and transport equipment,A,Annual,A,Annual,USM,Million US dollar,2020,,,,830353.2184
Merchandise trade values,ITS_MTV_AM,Merchandise imports by product group ? annual,156,CHN,China,000,,World,SITC3,Merchandise - SITC Revision 3 (aggregates),MAMT,Machinery and transport equipment,A,Annual,A,Annual,USM,Million US dollar,2021,,,,1007806.013
